PLACE,LATITUDE,LONGITUDE,URL
Ancienne Belgique,50.850556, 4.355556,https://www.abconcerts.be/fr/agenda
AB Box,50.849722, 4.364722,https://www.abconcerts.be/fr/agenda
Vk Events,50.866667, 4.383333
Le Botanique,50.854722, 4.365556,https://botanique.be/fr/concerts
Le Cirque Royal,50.850556, 4.356389,https://www.cirque-royal-bruxelles.be/agenda
Le Cirque Royal Club,50.850566, 4.356399,https://www.cirque-royal-bruxelles.beagenda
Flagey,50.827222, 4.370556,https://www.flagey.be/fr/program
Forest National,50.814722, 4.317778,https://www.forest-national.be/calendrier?
La Madeleine,50.850556, 4.355556,https://www.la-madeleine.be/agenda/
Palais des Beaux-Arts (Bozar),50.844722, 4.359722
Salle de concert Piano Perfect,50.845556, 4.349722
Theatre St-Michel,50.850556, 4.355556,https://www.novum.brussels/
The Music Village,50.849722, 4.364722,https://themusicvillage.com/program-2/?lang=fr
Sounds Jazz Club,50.850556, 4.355556,https://www.sounds.brussels/agenda/
Jazz Station,50.850556, 4.355556,https://club.jazzstation.be/
Recyclart,50.850556, 4.355556,https://recyclart.be/fr/agenda
L'Archiduc,50.845556, 4.349722,https://archiduc.com/#upcoming-events
Café DNA,50.849722, 4.364722
New-York Café and Jazz Club,50.849722, 4.364722
Le Cabaret aux Chansons,50.850556, 4.355556
La Samaritaine,50.849722, 4.364722
Chez Maman,50.849722, 4.364722,https://chezmaman.be/artistes-2-2-2/
Halles de Schaerbeek,50.869722, 4.377778,https://www.halles.be/fr/agenda#today
Backstage,50.866667, 4.383333 https://www.ledelta.be/evenements/backstage-elisabetta-spada/
Le Mezzo,50.849722, 4.364722
La Tentation,50.850556, 4.355556
