PLACE,LATITUDE,LONGITUDE,URL
Auditorium Michel Laclotte - Musée du Louvre, 48.860556, 2.336389,https://www.louvre.fr/programmes-de-salle-auditorium
Salle Gaveau, 48.873333, 2.310556,https://sallegaveau.com/
Salle Pleyel, 48.875556, 2.303333,https://www.sallepleyel.com/
Théâtre des Champs-Élysées, 48.865556, 2.307222, https://www.theatrechampselysees.fr/
Philharmonie de Paris, 48.893611, 2.393333, https://philharmoniedeparis.fr/fr
Opéra National de Paris-Bastille, 48.853333, 2.370556, https://www.operadeparis.fr/
Sunset Sunside, 48.863611, 2.348611, https://www.sunset-sunside.com/
Duc des Lombards, 48.863611, 2.348611, https://ducdeslombards.com/
Le Baiser Salé, 48.863611, 2.348611, https://www.lebaisersale.com/
Caveau de la Huchette, 48.853333, 2.345556, http://www.caveaudelahuchette.fr/
New Morning, 48.873333, 2.348333, https://www.newmorning.com/
L'Olympia, 48.870556, 2.328333, https://www.olympiahall.com/
Zénith de Paris - La Villette, 48.893611, 2.393333, https://le-zenith.com/
La Cigale, 48.8825, 2.344722, https://lacigale.fr/
Le Trianon, 48.8825, 2.344722, https://www.letrianon.fr/fr/
Accor Arena, 48.839722, 2.378333, https://www.accorarena.com/fr
Bataclan, 48.865556, 2.371389, https://www.bataclan.fr/
La Maroquinerie, 48.869722, 2.402778, https://www.lamaroquinerie.fr/
Le Son De La Terre, 48.852778, 2.351389, https://www.sondelaterre.fr/
Supersonic, 48.849167, 2.388611, https://supersonic-club.fr/
Trabendo, 48.893611, 2.393333, https://www.letrabendo.net/
Cabaret Sauvage, 48.896944, 2.375556, https://www.cabaretsauvage.com/
Elysée Montmartre, 48.8825, 2.344722, https://www.elyseemontmartre.com/fr/
Les Folies Bergère, 48.873611, 2.345556, https://www.foliesbergere.com/fr 
La Scala Paris, 48.870556, 2.355556, https://lascala-paris.fr/
Le Grand Rex,48.870556, 2.347222, https://www.legrandrex.com/mobile/annonces.php
Dôme de Paris, 48.831944, 2.2875, https://www.ledomedeparis.com/
