PLACE,LATITUDE,LONGITUDE,URL
Philharmonie de Berlin,52.509722, 13.367222,https://www.berliner-philharmoniker.de/en/
Konzerthaus Berlin,52.513611, 13.392557,https://www.konzerthaus.de/en/programm/18-10-2025
Uber Arena,52.505556, 13.443333,https://www.uber-arena.de/en/events/all
Tempodrom,52.505556, 13.383333,https://www.tempodrom.de/en/events-and-tickets/
Columbiahalle,52.486389, 13.423611,https://www.columbiahalle.berlin/veranstaltungen.html
Admiralspalast,52.521389, 13.388611,https://www.admiralspalast.theater/programm-tickets.html#go
Waldbühne,52.513333, 13.228333,https://www.waldbuehne-berlin.de/programm-und-tickets/
Parkbühne Wuhlheide,52.459722, 13.549722,http://www.wuhlheide.de/programm
Berghain,52.511055, 13.442993,https://www.berghain.berlin/de/program/
Lido,52.499611, 13.446944,https://www.lido-berlin.de/
Huxleys Neue Welt,52.509722, 13.438611,https://huxleysneuewelt.de/events
Metropol Berlin,52.505556, 13.384722,https://metropol-berlin.de/
Uber Eats Music Hall,52.504556, 13.442733,https://www.uber-eats-music-hall.de/events-tickets#alle
Max Schmeling Halle,52.535556, 13.425556,https://www.max-schmeling-halle.de/events-tickets
Privatclub,52.513611, 13.388611,https://privatclub-berlin.de/?ved=2ahUKEwiKvtqO8q2QAxWjUaQEHRz_LNMQgU96BAhSEAQ
Hole,52.464390, 13.433342,https://hole-berlin.de/
Astra Kulturhaus,52.475556, 13.471111,https://www.astra-berlin.de/
Kesselhaus Kulturbrauerei,52.544722, 13.412778,https://www.kesselhaus.net/fr/calendar
Sisyphos,52.474722, 13.470556,https://sisyphos-berlin.net/
Crack Bellmer,52.509722, 13.438611,https://www.crackbellmer.de/program/this-month
Kater Blau,52.503333, 13.435556,https://www.katerclub.de/
About Blank,52.503611, 13.452778,https://aboutblank.li/
KitKat Club,52.505556, 13.384722,http://kitkatclub.org/
Club der Visionäre,52.488611, 13.446389,https://clubdervisionaere.com/programm
Monarch,52.499300, 13.419470,https://kottimonarch.de/programm.php
Paloma bar,52.499333, 13.418990,https://palomabar.de/programm.php
So 36,52.500333, 13.422722,https://www.so36.com/tickets
Tresor,52.510756, 13.419722,https://tresorberlin.com/events/
Ritter Butzke,52.506389, 13.393333,https://club.ritterbutzke.com/events
Hoppetosse,52.497611, 13.454944,https://hoppetosse.berlin/program/
Badeschiff an der Arena,52.488611, 13.426944,https://www.arena.berlin/veranstaltungen/
Cassiopeia Club & jardin d'été,52.509722, 13.438611
Else Club,52.488611, 13.454722,https://www.else.tv/corporate
Golden Gate,52.515222, 13.417056,https://fr.ra.co/clubs/8009
Hafen, 52.498389, 13.349778,https://hafen-berlin.de/
