PLACE,LATITUDE,LONGITUDE,URL
Viện Goethe Hà Nội,21.030152014999086, 105.83786061914856,https://www.goethe.de/ins/vn/vi/index.html,institut
British Council,21.041259583782075, 105.82834960536574,https://www.britishcouncil.vn/,institut
Viện Pháp tại Việt Nam ,21.019444785152753, 105.8425787253096,https://ifv.vn/fr/notre-reseau/institut-francais-de-hanoi/#/,institut
The Japan Foundation,21.021841555862785, 105.8487864736135,https://hn.jpf.go.jp/,institut
Korean Culture Center,21.01868209659378, 105.8489034133165,http://vietnam.korean-culture.org/vi,institut
The American Center Hanoi,21.024753727316764, 105.81901218536056,https://vn.usembassy.gov/vi/american-center-hanoi/,institut
Casa Italia,21.026149403669923, 105.85672824445415,https://www.facebook.com/CasaItaliaHanoi/,institut
Indian Cultural Center, 21.02179500238531, 105.84950939716897,https://www.facebook.com/IndianCultureInVietnam,institut
Vietnam Exhibition Centre for Culture and Arts - Gallery,21.02314251235292, 105.85286690420646,,institut
Ha Noi Informations & Exhibition Center,21.02556603219955, 105.85343336300126,,institut
Cultural Exchange Center,21.03560412119208, 105.85286147163556,,institut
54 Traditions Gallery,21.041713414635847, 105.84481733120852,https://54traditions.vn/,art
Apricot Gallery,21.030848981409616, 105.84802149912925,http://www.apricotgallery.com.vn/,art
Bookworm Hanoi,21.044654722401745, 105.84270394021378,https://www.bookwormhanoi.com/,art
Chula Fashion House,21.070426911880276, 105.81333384343631,https://chulafashion.com/,art
39 Concept (Gallery 39),21.029768262244655, 105.84924972531516,https://39-concept.business.site/?utm_source=gmb&utm_medium=referral,art
MAI GALLERY,21.029699325630272, 105.84621913996104,,art
Manzi Exhibition Space,21.041828371993713, 105.84522351849192,https://www.manziart.space/,art
Tadioto,21.02573475049403, 105.85780599150101,,art
Vincom Center for Contemporary Art (VCCA),21.003156987907047, 105.81476154424465,http://vccavietnam.com/,institut
Heritage Space,21.018142504500638, 105.85768750987852,http://www.heritagespace.com.vn/,art
Vân Ho Exhibition Center,21.011481769479207, 105.84770907274799,,institut
WORK ROOM FOUR,21.065483003223587, 105.8238340921638,https://www.workroomfour.com/,music
Bat Trang Ceramic Artspace,20.978324171668866, 105.91353532935182,,art
Xưởng Thứ Bảy - The 7th Atelier,20.999968165629507, 105.8605759895995,,art
MIDDLE CAFE,21.03512452422748, 105.85354586936894,,art
TITA Trấn Vũ,21.046100513070332, 105.84019465476288,https://www.tita.art/,art
Bảo Tàng Phụ Nữ Việt Nam,21.023405308774244, 105.85171412153765,https://baotangphunu.org.vn/en/home/,art
Hanoi Rock City,21.069816332148115, 105.82348301080677,https://hrcwelive.com/,music
The Hideout Cafe Gastro Bar,21.070906698881778, 105.82991782587897,https://www.facebook.com/TheHideoutCafeGastroBar,music
HUB x GRA,21.058333268306146, 105.80475069034618,https://www.facebook.com/hubartclub,music
La Bodega,21.023918331357724, 105.87439774507331,https://www.facebook.com/labodegahanoi,music
Whiskey Mystics and Men - W2M,21.062913657036923, 105.82436989590833,https://www.facebook.com/w2mhanoi/,music
Binh Minh Jazz Club,21.023988948823828, 105.8584544796184,https://minhjazzvietnam.com/,music
The Hanoi Social Club,21.029132671212018, 105.84614082457388,https://www.facebook.com/TheHanoiSocialClub,music
Polygon Musik Café,21.0292765977085, 105.82973389428794,https://www.facebook.com/polygon.cafe,music
Polygon Musik,21.010518428388306, 105.82685845414932,https://www.facebook.com/polygon.cafe,music
The Hut Lakeside Lounge Bar,21.070991567353644, 105.82222747395453,https://www.facebook.com/thehutlakeside/,music
Đảo Chuối - Banana Island,21.0569061489804, 105.84670880914996,https://www.facebook.com/profile.php?id=100083317443531,music
Miami Vibes- Hanoi rooftop Pub,21.038206872474312, 105.80607681958068,https://www.facebook.com/MIAMIHANOI,music
The Snug,21.062363613765207, 105.82419742547938,https://www.facebook.com/TheSnugNo19?paipv=0&eav=AfbOLV3wJ8gk-Yc5yg-jPd57h_F7nSwIWRfrXFW9yM7PAQPWllP44IMXEAIJR03HHzY&_rdr,music
Purple Blues,21.035669418807256, 105.85295554181982,https://purplebluesbar.com/,music
Outpost,21.071966971889665, 105.83107385796566,https://www.facebook.com/OutpostHanoi,music
Bevvy Bar & BBQ,21.05686118992697, 105.82247791136176,,music
Kali,21.056790011566108, 105.82269336441556,https://www.instagram.com/kali.hanoi/,music
Complex 01,21.010575111354445, 105.82676284353376,https://complex01.vn/,music
Matca Space for Photography,21.03471170050384, 105.83155521463169,https://matca.vn/,music
MAI Gallery,21.029700221009545, 105.8462420662679,,music
Mipec Long Bien,21.04561002063465, 105.86636030378475,,music
Birdcage,21.071788576493432, 105.83064093589078,https://www.facebook.com/birdcagehanoi/,music
Savage,21.06409399670235, 105.82689662270299,https://savage-hanoi.com/,music
Unmute,21.03654539874702, 105.85513576406323,https://unmute.club/spaces/,music
The Kneipe,21.06888993546793, 105.82444437358512,https://www.facebook.com/thekneipehanoi,music
Long Waits Jazz,21.03253890874671, 105.8457558546594,https://www.longwaitsjazz.com/,music
SOL 8 - Live Stage,21.027281593613576, 105.8168917679719,https://www.facebook.com/SOL8.LiveStage,music
