PLACE,LATITUDE,LONGITUDE,URL
Transbordeur,45.78404790771527,4.86099519042548,https://www.transbordeur.fr/accueil/,music
Halle Tony Garnier,45.73090400519471,4.826150943299402,https://halle-tony-garnier.com/,music
Le G,45.76947847077514,4.832225171824509,,music
Ninkasi Gerland,45.728262690091576,4.831664946733531,https://www.ninkasi.fr/lieux/ninkasi-gerland/,music
Marché Gare,45.74155495036607,4.823288269540693,https://marchegare.fr/,music
Le Périscope,45.74698143235602,4.827652324068464,https://www.periscope-lyon.com/,music
Le Sonic,45.75068799092529, 4.820251712561378,https://sonic-lyon.fr/,music
Le Trokson,45.76973724802351,4.831532333405628,https://www.trokson.com/,music
Le Sucre,45.73661415788746,4.815308821695801,https://le-sucre.eu/,music
Toï Toï Le Zinc,45.77987153345585,4.877406759088646,https://www.toitoilezinc.fr/agenda-salle-de-spectacle/,music
Radiant-Bellevue,45.79788414153422,4.843125590861963,http://radiant-bellevue.fr/,music
À Thou Bout d'Chant,45.7705358011615,4.836544215343914,https://athouboutdchant.com/,music
Ancienne usine Fagor-Brandt,45.73125879157448,4.840202976719573,,music
Astrée Amphithéâtre,45.78366736641631,4.870564454581455,https://theatre-astree.univ-lyon1.fr/,music
Auditorium de Lyon,45.76183050086076,4.852376688478581,https://www.auditorium-lyon.com/fr,music
Bar des Capucins,45.76888857886096, 4.8324692255381265,,music
Bizarre!,45.71377458937166,4.879373354577578,https://www.lamachinerie-venissieux.fr/,music
Bourse du Travail,45.75959719706098,4.848216365673355,https://www.bourse-du-travail.com/,music
Briscope,45.676394182325275,4.760768684656085,https://brignais.com/briscope/,music
La Rayonne,45.75671235983061,4.917004559049518,https://larayonne.org/,music
Comédie Odéon,45.76242589307075,4.836668566327821,https://www.comedieodeon.com/,music
Docks Circus,45.73833810382409,4.814858623384977,https://www.dockscircus.fr/,music
Epicerie Moderne,45.67369894892874,4.858404399962919,https://epiceriemoderne.com/,music
Espace Albert Camus,45.72743250538055,4.919582121982419,https://pole-en-scenes.com/,music
Espace Tonkin,45.77585500283178,4.86330530363784,https://www.espacetonkin.fr/,music
Groom,45.770615465336434,4.836937077519969,https://www.groomlyon.com/,music
Groupama Stadium,45.765334091684046,4.982036878412183,https://www.olvallee.fr/,music
Grrrnd Zéro,45.765862217056274,4.9267125190686905,https://www.grrrndzero.org/,music
Hard Rock Café,45.763011898180885,4.837948560264358,https://www.grrrndzero.org/,music
Hot Club,45.76568284608088,4.831958880964752,https://www.hotclubjazzlyon.com/,music
Kraspek Myzik,45.771294137807615,4.835775421944657,http://kraspekmyzik.com/,music
La Marquise,45.759096281231706,4.840057922862742,http://www.marquise.net/,music
La Plateforme,45.76182849637386,4.840403461890766,https://cafe-oz.com/,music
LDLC Arena,45.76865757266265,4.978658041447684,https://www.olvallee.fr/lieux/ldlc-arena/,music
Chromatique,45.750819488952686,4.847040160142772,https://www.chromatique.art/
Matmut Stadium de Gerland,45.72375112024588,4.832137062735327,,music
Jack Jack,45.742338170768804,4.908581917764821,https://mjcbron.fr/,music
MJC Bonneterre,45.76175040275761,4.885933617945258,https://www.mjc-villeurbanne.org/,music
Théâtre antique de Fourvière,45.75874341341396,4.819662249985661,,music
Opéra National de Lyon,45.76782652695555,4.836256972967631,https://www.opera-lyon.com/,music
Palais de la Mutualité,45.75651519631044,4.841314180794806,https://www.lyon.fr/recherche?search_api_fulltext=palais+de+la+mutualite&type=All,music
Péniche Loupika,45.736761829365655,4.814561882601606,,music
Rock N Eat,45.771063203788856,4.811639102575134,https://www.rockneat.com/,music
Le Sirius,45.76111880660408,4.840335224579792,https://www.lesirius.com/,music
Salle des Rancy,45.755974264407975,4.847594718492895,https://www.salledesrancy.com/,music
Salle Léo Ferré ,45.76109675206448,4.825993631964207,http://www.mjcduvieuxlyon.com/,music
Salle Victor Hugo,45.76784678862205,4.849621760358227,,music
Le Toboggan,45.76878299389761,4.955766064092964,https://letoboggan.com/,music
Warmaudio,45.7667872185702,4.944126920392682,https://warmaudio.fr/,music
La Grooverie,45.76973564942163,4.83053012536694,https://www.facebook.com/lagrooverie/?locale=fr_FR,music
La Passagère,45.76059076681801,4.840247992216044,,music
Maison M,45.76855453010177,4.829935621383864,https://mmlyon.com/,music
Terminal Club,45.769498439406306,4.8314741316218965,https://www.terminal-club.com/,music
Salle 3000,45.78517456739005,4.85806177180337,https://www.ccc-lyon.com/,music
Chapelle De La Trinité,45.76539214472852,4.837015480468372,https://www.lesgrandsconcerts.com/concerts,music
Livestation DIY,45.75322219394572,4.83995960793735,https://livestationdiy.com/,music
Plouf Bateau mousse,45.75963938169328,4.840153803366476,,music
L'ambassade,45.76056517146233,4.8363720708467985,,music
Le Petit Salon,45.74091768990373,4.848965037873324,https://www.lpslyon.fr/,music
Ninkasi Gorge du Loup,45.77146427487765,4.805288231932393,https://www.ninkasi.fr/lieux/ninkasi-gorge-de-loup/,music
Ninkasi Gratte Ciel,45.7691706463425,4.8792028318165785,https://www.ninkasi.fr/lieux/ninkasi-gratte-ciel/,music
Ninkasi Guillotière,45.756186539778,4.8410423842345285,https://www.ninkasi.fr/lieux/ninkasi-guillotiere/,music
Ninkasi La Soie,45.76100286289491,4.919605013198062,https://www.ninkasi.fr/lieux/ninkasi-la-soie/,music
Ninkasi OL Vallée,45.76728901140007,4.980168945083201,https://www.ninkasi.fr/lieux/ninkasi-ol-vallee/,music
Ninkasi Part-Dieu,45.75781579067708,4.858261920165393,https://www.ninkasi.fr/lieux/ninkasi-part-dieu/,music
Ninkasi Saint Paul,45.76593080133774,4.828005683638858,https://www.ninkasi.fr/lieux/ninkasi-saint-paul/,music
